序号,汉字,拼音,义符（按字源）,声符（按字源）,构形依据,《说文》原文
1,个,gè,竹,固,从竹固聲,竹枚也。从竹固聲。
2,么,mǒ,幺,麻,从幺麻聲,細也。从幺麻聲。
3,亿,yì,人,𢡃,从人𢡃聲,安也。从人𢡃聲。
4,尢,yóu,乙,又,从乙又聲,異也。从乙又聲。
5,专,zhuān,寸,叀,从寸叀聲,六寸簿也。从寸叀聲。一曰專，紡專。
6,书,shū,聿,者,从聿者聲,箸也。从聿者聲。
7,仅,jǐn,人,堇,从人堇聲,材能也。从人堇聲。
8,仆,pū,人,卜,从人卜聲,頓也。从人卜聲。
9,仇,qiú,人,九,从人九聲,讎也。从人九聲。
10,仍,réng,人,乃,从人乃聲,因也。从人乃聲。
11,允,yǔn,儿,㠯,从儿㠯聲,信也。从儿㠯聲。
12,冈,gāng,山,网,从山网聲,山骨也。从山网聲。
13,凤,fèng,鳥,凡,”从鳥凡聲,神鳥也。天老曰：“鳳之象也，鴻前麐後，蛇頸魚尾，鸛顙鴛思，龍文虎背，燕頷雞喙，五色備舉。出於東方君子之國，翺翔四海之外，過崐崘，飲砥柱，濯羽弱水，莫宿風穴。見則天下大安寕。”从鳥凡聲。
14,切,qiē,刀,七,从刀七聲,刌也。从刀七聲。
15,劝,quàn,力,雚,从力雚聲,勉也。从力雚聲。
16,办,bàn,力,辡,从力辡聲,致力也。从力辡聲。
17,化,huà,𠤎,𠤎,从𠤎从人，𠤎亦聲,教行也。从𠤎从人，𠤎亦聲。
18,厄,ě,卩,厂,从卪厂聲,科厄，木節也。从卪厂聲。賈侍中說，以爲厄，裹也。一曰厄，蓋也。
19,历,lì,止,厤,从止厤聲,過也。从止厤聲。
20,少,shǎo,小,丿,从小丿聲,不多也。从小丿聲。
21,币,bì,巾,敝,从巾敝聲,帛也。从巾敝聲。
22,攴,pū,攴,卜,从又卜聲,小擊也。从又卜聲。凡攴之屬皆从攴。
23,无,wú,亾,𣞤,从亾𣞤聲,亡也。从亾𣞤聲。
24,曰,yuè,曰,乙,从口乙聲,詞也。从口乙聲。亦象口气出也。凡曰之屬皆从曰。
25,殳,shū,殳,几,”从又几聲,以杸殊人也。《禮》：“殳以積竹，八觚，長丈二尺，建於兵車，車旅賁以先驅。”从又几聲。凡殳之屬皆从殳。
26,订,dìng,言,丁,从言丁聲,平議也。从言丁聲。
27,讥,jī,言,幾,从言幾聲,誹也。从言幾聲。
28,邓,dèng,邑,登,从邑登聲,曼姓之國。今屬南陽。从邑登聲。
29,队,zhuì,𨸏,㒸,从𨸏㒸聲,從高隊也。从𨸏㒸聲。
30,韦,wéi,韋,囗,从舛囗聲,相背也。从舛囗聲。獸皮之韋，可以束枉戾相韋背，故借以爲皮韋。凡韋之屬皆从韋。
31,风,fēng,風,凡,从虫凡聲,八風也。東方曰明庶風，東南曰清明風，南方曰景風，西南曰涼風，西方曰閶闔風，西北曰不周風，北方曰廣莫風，東北曰融風。風動蟲生。故蟲八日而化。从虫凡聲。凡風之屬皆从風。
32,丕,pī,一,不,从一不聲,大也。从一不聲。
33,丛,cóng,丵,取,从丵取聲,聚也。从丵取聲。
34,主,zhǔ,丶,丶,从丶，丶亦聲,鐙中火主也。从纹，象形。从丶，丶亦聲。
35,乎,hū,兮,象,从兮，象聲,語之餘也。从兮，象聲上越揚之形也。
36,仔,zī,人,子,从人子聲,克也。从人子聲。
37,仞,rèn,人,刃,从人刃聲,伸臂一尋，八尺。从人刃聲。
38,仡,yì,人,气,从人气聲,勇壯也。从人气聲。《周書》曰：“㐹㐹勇夫。”
39,代,dài,人,弋,从人弋聲,更也。从人弋聲。
40,仪,yí,人,義,从人義聲,度也。从人義聲。
41,兰,lán,艸,闌,从艸闌聲,香艸也。从艸闌聲。
42,写,xiě,宀,舄,从宀舄聲,置物也。从宀舄聲。
43,冯,píng,馬,冫,从馬冫聲,馬行疾也。从馬冫聲。
44,击,jī,手,毄,从手毄聲,攴也。从手毄聲。
45,刊,kān,刀,干,从刀干聲,剟也。从刀干聲。
